Source,Target
297802,141052
297802,49521
297802,297762
297802,209112
297802,1452
424783,198184
424783,605
424783,2048
424783,87101
424783,157336
504172,4836
504172,253
504172,769
504172,2034
504172,4982
400650,10140
400650,433
400650,671
400650,674
400650,34584
324857,99861
324857,141052
324857,246655
324857,1452
324857,1924
335983,141052
335983,49521
335983,299537
335983,1452
335983,1924
405774,131631
405774,294254
405774,198663
405774,110415
405774,185
429197,508
429197,640
429197,769
429197,424
429197,316029
503314,330459
503314,1891
503314,1894
503314,1892
503314,11
369972,10734
369972,3558
369972,10545
369972,424
369972,769
424694,369557
424694,1584
424694,397538
424694,354912
424694,369192
338952,767
338952,672
338952,674
338952,675
338952,259316
299536,9738
299536,1452
299536,1924
299536,9531
299536,8536
428078,281957
428078,185
428078,198663
428078,101299
428078,131631
375588,20662
375588,1495
375588,10907
375588,11886
375588,8367
567604,11395
567604,11881
567604,8871
567604,10719
567604,5825
454293,8618
454293,1584
454293,52449
454293,400928
454293,8363
300681,264660
300681,164457
300681,10514
300681,18111
300681,1908
463272,9486
463272,37724
463272,954
463272,206647
463272,36669
346910,828
346910,10200
346910,20424
346910,601
346910,126889
424139,948
424139,429476
424139,11357
424139,4232
424139,11361
260513,1452
260513,1924
260513,9531
260513,8536
260513,209112
426426,112160
426426,13
426426,141
426426,424694
426426,398173
375262,449176
375262,26280
375262,184352
375262,370663
375262,376867
353081,341006
353081,562
353081,10585
353081,954
353081,691
363088,102899
363088,1924
363088,1452
363088,8536
363088,9531
446021,77
446021,13
446021,1368
446021,1369
446021,11778
484247,336843
484247,101299
484247,346364
484247,454983
484247,207932
284054,99861
284054,141052
284054,246655
284054,1452
284054,1924
399402,281957
399402,1573
399402,1927
399402,9350
399402,290512
500664,9739
500664,281
500664,2048
500664,97020
500664,218
332562,525
332562,254470
332562,458737
332562,424694
332562,429191
487558,451915
487558,769
487558,424
487558,334543
487558,443009
426563,370567
426563,297708
426563,10528
426563,58574
426563,379170
507562,34433
507562,39101
507562,39108
507562,39107
507562,81
470044,281957
470044,392044
470044,671
470044,674
470044,101299
345887,562
345887,281957
345887,74997
345887,11713
345887,4771
407436,278927
407436,34584
407436,10140
407436,449176
407436,281957
446894,287903
446894,411
446894,9325
446894,109445
446894,321612
383498,209112
383498,141052
383498,49521
383498,272
383498,155
429476,948
429476,371608
429476,36599
429476,39874
429476,4232
351286,88751
351286,329
351286,135397
351286,425
351286,105864
345940,578
345940,332567
345940,205775
345940,157350
345940,131631
466282,43923
466282,449176
466282,308369
466282,12689
466282,9880
398173,10781
398173,1696
398173,984
398173,5486
398173,12521
438799,369885
438799,374720
438799,228150
438799,324786
438799,1771
347375,604
347375,605
347375,345887
347375,24
347375,682
438808,261023
438808,429203
438808,504172
438808,90
438808,9600
439079,250546
439079,396422
439079,259693
439079,588
439079,9552
569547,296
569547,62
569547,78
569547,335984
569547,264660
458594,74997
458594,956
458594,156022
458594,238636
458594,473149
348350,330459
348350,11
348350,348
348350,126889
348350,54138
463821,2454
463821,2268
463821,44826
463821,12155
463821,10140
543094,504897
543094,479363
543094,543103
543094,508830
543094,305470
442062,2454
442062,411
442062,671
442062,9479
442062,406997
399360,281957
399360,290512
399360,309050
399360,44363
399360,75174
446101,4421
446101,342737
446101,10035
446101,336804
446101,366696
447332,110415
447332,405774
447332,381283
447332,19908
447332,84226
402900,949
402900,772
402900,442249
402900,339403
402900,401469
489999,300668
489999,338970
489999,284276
489999,43923
489999,340677
438590,2048
438590,157336
438590,198184
438590,264660
438590,152601
429203,75656
429203,339403
429203,359412
429203,968
429203,273481
445651,101299
445651,157350
445651,263115
445651,333339
445651,1452
333339,101299
333339,157350
333339,2048
333339,604
333339,605
447200,707
447200,395991
447200,2924
447200,11134
447200,5919
455207,8966
455207,9880
455207,222935
455207,50619
455207,454983
449992,38167
449992,11541
449992,34626
449992,449951
449992,345169
446807,65754
446807,281957
446807,392044
446807,336843
446807,9654
337167,281957
337167,392044
337167,341174
337167,867
337167,11027
543103,504897
543103,479363
543103,508830
543103,127585
451925,817
451925,13
451925,38
451925,398818
451925,449176
360920,17979
360920,9479
360920,11395
360920,11881
360920,8871
499362,432139
499362,200201
474354,336843
474354,7984
474354,1645
474354,390051
474354,13655
449443,339403
449443,562
449443,949
449443,1572
449443,9654
425505,90
425505,2503
425505,9737
425505,5548
425505,15092
336843,294254
336843,448095
336843,375366
336843,1927
336843,346364
427641,124905
427641,7191
427641,268896
427641,293167
427641,34584
300668,484247
300668,210577
300668,336843
300668,346364
300668,9738
493922,334541
493922,956
493922,10779
493922,399366
493922,14869
400535,1266
400535,4771
400535,562
400535,261023
400535,1701
454227,640
454227,769
454227,424
454227,316029
454227,399404
466411,8966
466411,222935
466411,198663
466411,131631
466411,445651
442249,357096
442249,345887
442249,2749
442249,984
442249,10781
532321,129
532321,34433
532321,257445
532321,44251
532321,28609
454992,954
454992,484247
454992,818
454992,27205
454992,36669
500475,4771
500475,8012
500475,398181
500475,38842
500475,17494
400155,49017
400155,7131
400155,277
400155,24021
400155,76492
338970,1995
338970,1996
338970,217
338970,269149
338970,297762
424121,238636
424121,500664
424121,357096
424121,588
424121,3597
501630,112160
501630,13
501630,437557
501630,14
501630,398818
489931,75656
489931,269795
489931,37797
489931,5143
489931,209247
440471,43539
440471,13910
440471,95862
440471,252854
440471,175005
460071,396371
460071,640
460071,424
460071,769
460071,487558
449459,197
449459,627
449459,399402
449459,428399
449459,180863
420814,15655
420814,346648
420814,278927
420814,407436
420814,281957
451915,769
451915,424
451915,334543
451915,443009
401981,336843
401981,281957
401981,101299
401981,101
401981,657
472734,8966
472734,9880
472734,484247
472734,222935
472734,454983
548789,49040
548789,308144
548789,79063
548789,573636
548789,403357
458423,224141
458423,11224
458423,10020
458423,11970
458423,433
460668,2062
460668,433
460668,694
460668,745
460668,453
536115,15766
536115,1682
536115,15767
536115,373571
536115,36243
460885,281957
460885,238636
460885,345887
460885,49021
460885,395834
421658,56292
421658,49026
421658,47964
421658,691
421658,201088
531593,507
531593,429203
531593,339403
531593,562
531593,359412
473149,398175
473149,74997
473149,2503
473149,238636
473149,346364
268896,124905
268896,68726
268896,91314
268896,373571
268896,7191
527435,9479
527435,11395
527435,8871
527435,10719
527435,10510
438145,281957
438145,11121
438145,345887
438145,101
438145,359940
439015,395834
439015,396422
439015,346364
439015,439079
439015,259693
455980,460019
455980,9476
455980,390043
455980,445571
455980,353486
468362,10661
468362,460868
468362,691
468362,205584
468362,85
537996,9394
537996,995
537996,14128
537996,872
537996,10156
445571,275
445571,473149
445571,425591
445571,2898
445571,984
443009,324786
443009,389015
443009,363676
426543,10882
426543,224141
426543,11224
426543,5393
426543,808
295011,72190
295011,336843
295011,19908
295011,82654
295011,747
486947,11001
486947,6933
486947,1256
486947,21240
486947,893
503346,9555
503346,8810
503346,137113
503346,47933
503346,602
429300,435
429300,11324
429300,950
429300,341174
429300,345887
507569,34433
507569,39101
507569,39108
507569,39107
507569,81
475210,238636
475210,281957
475210,345887
475210,445954
475210,948
412862,371608
412862,39874
412862,948
412862,429476
412862,10781
429351,281957
429351,193756
429351,8966
429351,222935
429351,449176
454619,345887
454619,281957
454619,458594
454619,3134
454619,357096
361292,561
361292,44214
361292,396422
361292,439079
361292,259693
454983,449176
454983,101299
454983,11121
454983,49022
454983,109491
430231,77949
430231,448095
430231,345911
430231,138843
430231,2048
525460,357096
525460,984
525460,8090
525460,807
525460,75780
476292,378064
476292,297762
476292,370663
476292,81
476292,52371
384677,769
384677,18487
384677,968
384677,2291
384677,11517
470229,3597
470229,281957
470229,948
470229,238636
470229,500664
458737,359940
458737,458594
458737,324786
458737,9552
395841,357096
395841,75780
395841,60670
395841,4771
395841,8090
497814,146233
497814,1571
497814,562
497814,772
497814,345887
399035,2503
399035,314365
399035,11324
399035,591
399035,752
401478,10483
401478,107846
401478,278
401478,1368
401478,168259
448776,10734
448776,769
448776,107846
448776,640
448776,424
470894,155
470894,272
470894,9738
470894,1452
470894,1924
396806,500664
396806,9739
396806,984
396806,8090
396806,2048
419743,449176
419743,184352
419743,26280
419743,258034
419743,382475
544431,371608
544431,429476
544431,39874
544431,10781
544431,1359
505177,345887
505177,357096
505177,458594
505177,146233
505177,156022
556803,150689
556803,2270
556803,810
556803,10882
556803,9880
412988,927
412988,136795
412988,8961
412988,261023
412988,12153
424781,341006
424781,769
424781,281957
424781,381288
424781,378018
503619,747
503619,14
503619,419430
503619,1359
503619,402897
453201,8966
453201,2501
453201,2503
453201,350
453201,424
401905,157350
401905,198663
401905,101299
401905,131631
401905,2048
339103,769
339103,261023
339103,156022
339103,396371
339103,424694
459910,627
459910,2034
459910,438808
459910,1900
459910,11968
522417,527435
522417,263341
522417,8922
522417,11675
522417,4170
474335,13260
474335,66894
474335,489593
474335,39185
474335,114887
426814,281957
426814,345887
426814,74997
426814,238636
426814,11309
481203,469813
481203,423083
481203,433792
481203,432709
481203,435500
464502,74997
464502,281957
464502,458594
464502,357096
464502,10781
400579,433
400579,303991
400579,277216
400579,2758
400579,111
437586,449176
437586,10229
437586,376660
437586,8363
437586,11887
220882,198663
220882,157350
220882,78
220882,336843
220882,131631
505192,20352
505192,399055
505192,278927
505192,283366
505192,150689
399796,114150
399796,325133
399796,12429
399796,62211
399796,12620
420426,351460
420426,81
420426,205584
420426,34433
420426,285
384521,126889
384521,157336
384521,348
384521,8077
384521,2103
440298,13
440298,24420
440298,272693
440298,1903
440298,1259
419478,627
419478,463053
419478,62211
419478,353616
419478,254470
495925,34433
495925,28609
495925,44251
495925,39107
495925,81
297725,101299
297725,336843
297725,392044
297725,281957
297725,12155
395990,4771
395990,64689
395990,75780
395990,395841
395990,562
429417,110415
429417,416234
429417,620
429417,343674
429417,91586
370567,1934
370567,91745
370567,10705
370567,297708
370567,10688
401469,949
401469,531593
401469,520360
401469,339403
448095,238636
448095,379149
448095,281957
448095,49021
448095,473149
416234,620
416234,91586
416234,2655
416234,201085
416234,77949
459258,861
459258,240832
459258,331592
459258,38
459258,16320
460019,114150
460019,9064
460019,13515
460019,14249
340674,340613
340674,340666
340674,322
340674,4347
340674,267192
521647,24
521647,4105
521647,8681
521647,2503
521647,479040
500919,15069
500919,984
500919,807
500919,75780
500919,445954
519035,20943
519035,6877
519035,4951
519035,274870
519035,193893
406563,463821
406563,396422
406563,416234
406563,609
406563,259693
476926,238636
476926,500664
476926,473149
476926,281957
476926,345887
399248,10661
399248,398173
399248,468362
399248,562
399248,424694
414191,15021
414191,519247
414191,565
414191,10559
414191,428449
437557,376660
437557,112160
437557,433
437557,391713
437557,634
476299,74997
476299,2652
476299,15356
476299,73861
476299,10781
514277,467660
514277,439015
514277,346364
514277,418078
514277,1927
449176,398818
449176,376867
449176,26280
449176,10229
449176,152584
339380,370663
339380,5915
339380,467952
339380,152532
339380,273153
433498,424
433498,769
433498,487558
433498,451915
433498,334543
411143,562
411143,345887
411143,275
411143,146233
411143,2048
411135,87101
411135,534
411135,218
411135,2048
411135,605
462919,64255
462919,621
462919,429417
462919,224141
462919,2976
399174,533
399174,263109
399174,530
399174,387592
399174,14447
489925,376660
489925,24684
489925,12689
489925,9779
489925,411741
454652,487558
454652,443009
454652,363676
454652,451915
454652,10161
385332,101
385332,281957
385332,345887
385332,956
385332,77
493006,44251
493006,28609
493006,39107
493006,39101
493006,34433
463053,364689
463053,627
463053,62211
463053,394117
463053,376660
489927,400928
489927,1427
489927,334
489927,9428
489927,11393
467660,10585
467660,346364
467660,418078
467660,1903
467660,956
489929,50620
489929,49013
489929,10719
489929,812
489929,254128
381719,9325
381719,269149
381719,13053
381719,12155
381719,2454
351044,11551
351044,11187
351044,11932
351044,11186
351044,11249
419831,1927
419831,209112
419831,141052
419831,49521
419831,49026
472226,10545
472226,352492
472226,98948
472226,15004
472226,515254
417261,194662
417261,396371
417261,395990
417261,425972
417261,157336
340022,1571
340022,562
340022,2502
340022,345887
340022,1572
438689,56292
438689,708
438689,657
438689,710
438689,47964
520360,500
520360,949
520360,339403
520360,574
520360,747
414001,253
414001,646
414001,657
414001,658
414001,691
440161,682
440161,8966
440161,510
440161,429
440161,281957
492336,588
492336,341006
492336,36647
492336,381288
492336,578
525554,96
525554,75780
525554,11423
525554,984
525554,1266
490004,357096
490004,10781
490004,281957
490004,341006
490004,15069
371608,10781
371608,158011
371608,10585
371608,156022
371608,458594
530154,138100
530154,429417
530154,537996
530154,390329
530154,14128
426613,449176
426613,84892
426613,10818
426613,376867
426613,370663
369523,273153
369523,9813
369523,370663
369523,426613
369523,376867
407451,449176
407451,43923
407451,674
407451,9880
407451,466282
479040,984
479040,4771
479040,146233
479040,807
479040,75780
499631,363676
499631,324786
499631,424694
499631,369192
499631,443009
406761,500664
406761,604
406761,605
406761,157350
406761,198663
511449,9373
511449,341006
511449,74997
511449,36647
511449,381288
505058,370663
505058,201088
505058,37799
505058,65754
505058,277685
503616,293768
503616,10779
503616,376290
503616,340103
503616,8545
430040,435
430040,949
430040,339403
430040,520360
430040,296524
416194,14161
416194,475210
416194,254128
416194,76649
416194,664
483184,345887
483184,357096
483184,458594
483184,281957
483184,74997
516846,150689
516846,2270
516846,43867
516846,810
516846,10882
50022,4771
50022,11423
50022,26390
50022,193893
50022,75780
492719,34433
492719,28609
492719,44251
492719,39107
492719,81
507419,429203
507419,500919
507419,1969
507419,416160
507419,339403
491584,8643
491584,263471
491584,123997
491584,407874
491584,268373
443463,8966
443463,398181
443463,414425
443463,466282
443463,222935
545963,10144
545963,9880
545963,809
545963,810
545963,10882
429195,322
429195,7443
429195,533
429195,9427
429195,219
538604,437029
538604,286538
538604,508747
417643,357096
417643,984
417643,807
417643,75780
417643,8090
396461,949
396461,396371
396461,627
396461,90
396461,426
471474,49521
471474,141052
471474,1452
471474,1924
471474,1927
502682,451480
502682,5951
502682,448514
502682,125255
485942,155
485942,272
485942,1724
485942,1726
485942,1771
512412,10734
512412,278
512412,107846
512412,500
512412,1368
467952,449176
467952,424
467952,205596
467952,369885
467952,227306
521935,3035
521935,567738
521935,489999
521935,9552
521935,489925
557635,867
557635,1382
557635,245906
557635,86555
557635,17362
448916,807
448916,2048
448916,500664
448916,75780
448916,146233
487670,141052
487670,49521
487670,1452
487670,1924
487670,9531
437543,59857
437543,125510
437543,80279
437543,35105
437543,41365
458344,1584
458344,525
458344,424694
458344,786
458344,6477
399131,376660
399131,10625
399131,449176
399131,43923
399131,8363
465136,336843
465136,70160
465136,401905
465136,321612
465136,476926
474395,315635
474395,1452
474395,1924
474395,9531
474395,8536
417812,84892
417812,340613
417812,8966
417812,10734
417812,222935
394741,424694
394741,487558
394741,324786
394741,451915
394741,443009
496704,124905
496704,15766
496704,373571
496704,7191
496704,268896
455108,392044
455108,281957
455108,336843
455108,101299
455108,198663
387592,425
387592,49519
387592,278154
387592,9991
387592,9291
451713,349092
451713,670
451713,1278
451713,13885
451713,38810
493551,10661
493551,424
493551,640
493551,769
493551,389015
451919,273153
451919,9813
451919,281957
451919,391713
451919,394117
433310,41154
433310,279229
433310,127585
433310,673
433310,105
451877,370663
451877,273153
451877,9813
451877,258480
451877,205587
338768,400579
338768,302946
338768,380
338768,8838
338768,431
514754,62177
514754,109445
514754,10555
514754,426613
514754,370663
332283,769
332283,424
332283,369972
332283,451915
332283,334543
497370,9798
497370,500
497370,521
497370,238
497370,240
568332,786
568332,31802
568332,6477
568332,332562
568332,254470
432301,376866
432301,403
432301,4587
432301,11973
432301,2142
362826,281957
362826,1949
362826,500664
362826,395834
362826,395841
401545,364689
401545,2501
401545,2503
401545,1124
401545,521
505579,458594
505579,345887
505579,74997
505579,357096
505579,311
431072,325133
431072,342473
431072,44214
431072,12620
431072,407655
496328,487558
496328,324786
496328,424694
496328,451915
496328,443009
532908,520278
532908,518436
532908,53355
532908,336226
518452,370663
518452,273153
518452,9813
518452,437557
518452,425972
385448,767
385448,12444
385448,12445
385448,10882
385448,675
340613,340666
340613,843
340613,346685
340613,11004
454283,16314
454283,18885
454283,105
454283,32302
454283,1726
385360,281957
385360,562
385360,238636
385360,442249
385360,395834
477033,4011
477033,91586
477033,561
477033,588
477033,675
483980,10947
483980,9880
483980,15144
483980,449176
483980,11887
515916,370663
515916,152532
515916,226
515916,449176
515916,398818
511785,449176
511785,184352
511785,376867
511785,400547
511785,26280
456750,1571
456750,345887
456750,562
456750,9772
456750,146233
491418,371645
491418,331588
491418,9364
491418,36536
491418,332045
391710,443009
391710,487558
391710,324786
391710,424694
391710,451915
529982,357096
529982,281957
529982,345887
529982,445954
529982,11423
460555,9355
460555,409
460555,345009
460555,10243
460555,25388
515841,273153
515841,437557
515841,634
515841,370663
515841,426613
494407,34433
494407,436931
494407,81
494407,28609
494407,44251
397722,449176
397722,376660
397722,398818
397722,13374
397722,13342
513574,1788
513574,44214
513574,68817
513574,85373
513574,335797
345934,424
345934,423
345934,1771
345934,228150
345934,369885
420634,1696
420634,10585
420634,59967
420634,371608
420634,429476
467632,8090
467632,984
467632,357096
467632,15069
467632,807
543580,297762
543580,600
543580,324786
543580,374720
543580,1865
433627,612
433627,10661
433627,424694
433627,369972
433627,369192
513223,281957
513223,392044
513223,336843
513223,101299
513223,8966
401371,78
401371,1103
401371,4836
401371,2666
401371,86838
451480,424
451480,637
451480,334522
451480,228150
451480,369885
486753,281957
486753,392044
486753,336843
486753,101299
486753,50619
487242,155
487242,272
487242,49521
487242,209112
487242,141052
421471,272693
421471,449176
421471,308369
421471,2105
421471,9880
504603,298
504603,949
504603,627
504603,520360
504603,339403
